id,plec,miasto_kat,wojewodztwo,domena_kat,wiek,IPA,IPB,wynik,typ_adresu,wybory,poczta,data,
"3302618","m","miasto_woj117","woj12","domena_kat24","28","ipA3","ipB1777","nie","mieszkanie","wybory404","c007","2014-11-13",
"2592057",,"miasto_woj33","woj15","domena_kat24",,"ipA10","ipB1473","nie",,,,"2014-11-13",
"4863437","k","miasto_woj154","woj3","domena_kat10","34","ipA3","ipB1815","nie",,,,"2014-11-11",
"4506902",,"miasto_woj154","woj12","domena_kat9",,"ipA6","ipB1336","nie",,,,"2014-11-11",
"2922917","k","miasto_woj127","woj3","domena_kat24","65","ipA23","ipB58","nie","mieszkanie","wybory154","r013","2014-11-13",
"4371937","k","miasto_woj154","woj41","domena_kat9","46","ipA7","ipB167","nie","mieszkanie","wybory150","r007","2014-11-11",
"164264","m","miasto_woj154","woj20","domena_kat24","58","ipA9","ipB1080","nie","mieszkanie","wybory113","r005","2014-11-12",
"622782",,"miasto_woj154","woj17","domena_kat4",,"ipA25","ipB579","nie",,,,"2014-11-12",
"4309562",,"miasto_woj154","woj30","domena_kat24","39","ipA17","ipB1133","nie","mieszkanie","wybory70","c006","2014-11-11",
"999467","k","miasto_woj154","woj41","domena_kat9","28","ipA1","ipB3452","nie","mieszkanie","wybory112","c002","2014-11-12",
"4429388",,"miasto_woj133","woj48","domena_kat9",,"ipA11","ipB1092","nie",,,,"2014-11-11",
"3271298","m","miasto_woj154","woj16","domena_kat1","24","ipA7","ipB640","nie","mieszkanie","wybory264","r002","2014-11-13",
"4703176","k","miasto_woj154","woj16","domena_kat24","42","ipA12","ipB121","nie","mieszkanie","wybory189","r010","2014-11-11",
"4439345","k","miasto_woj178","woj12","domena_kat17",,"ipA24","ipB3361","nie","mieszkanie","wybory293","c019","2014-11-11",
"2774460","m","miasto_woj154","woj16","domena_kat17","85","ipA2","ipB2053","nie","mieszkanie","wybory328","r001","2014-11-13",
"3106334","k","miasto_woj154","woj18","domena_kat9","32","ipA4","ipB4","nie","mieszkanie","wybory341","c016","2014-11-13",
"3743152",,"miasto_woj154","woj17","domena_kat10",,"ipA24","ipB1117","nie",,,,"2014-11-11",
"3376321",,"miasto_woj154","woj17","domena_kat9",,"ipA49","ipB2443","nie",,,,"2014-11-13",
"2473566","k","miasto_woj154","woj9","domena_kat17","68","ipA44","ipB3800","nie",,,,"2014-11-13",
"4487078",,"miasto_woj154","woj5","domena_kat9",,"ipA12","ipB1038","nie","mieszkanie","wybory106","r002","2014-11-11",
"2594028","m","miasto_woj154","woj12","domena_kat9","41","ipA4","ipB4","nie","mieszkanie","wybory283","c067","2014-11-13",
"883977","m","miasto_woj154","woj15","domena_kat10","52","ipA17","ipB1992","nie","wiezowiec","wybory301","c027","2014-11-12",
"2512190","k","miasto_woj154","woj31","domena_kat18","23","ipA15","ipB216","nie","mieszkanie","wybory76","r003","2014-11-13",
"530968","k","miasto_woj154","woj18","domena_kat24","67","ipA14","ipB1505","nie","wiezowiec","wybory408","c003","2014-11-12",
"203823","k","miasto_woj154","woj38","domena_kat18","44","ipA13","ipB696","nie","mieszkanie","wybory374","r004","2014-11-12",
"649007",,"miasto_woj154","woj12","domena_kat9",,"ipA1","ipB3999","nie",,,,"2014-11-12",
"1095552","m","miasto_woj154","woj10","domena_kat24","50","ipA18","ipB3786","nie","mieszkanie","wybory311","r031","2014-11-12",
"1246839",,"miasto_woj147","woj12","domena_kat9",,"ipA17","ipB756","nie",,,,"2014-11-12",
"1387838","m","miasto_woj154","woj3","domena_kat24","71","ipA26","ipB3177","nie","wiezowiec","wybory427","r003","2014-11-12",
"3071663","k","miasto_woj154","woj7","domena_kat9","62","ipA20","ipB346","nie","mieszkanie","wybory7","r001","2014-11-13",
"809814","k","miasto_woj129","woj9","domena_kat9","52","ipA26","ipB3516","nie",,,,"2014-11-12",
"4811531","k","miasto_woj154","woj12","domena_kat6","46","ipA5","ipB2049","nie","wiezowiec","wybory216","c003","2014-11-11",
"4647182","m","miasto_woj154","woj5","domena_kat21","60","ipA10","ipB54","nie","mieszkanie","wybory5","c003","2014-11-11",
"839656","m","miasto_woj216","woj11","domena_kat9","51","ipA24","ipB60","nie","wiezowiec","wybory46","c007","2014-11-12",
"1462575","k","miasto_woj154","woj22","domena_kat17",,"ipA29","ipB2447","nie","mieszkanie","wybory71","r025","2014-11-12",
"879845","k","miasto_woj154","woj16","domena_kat9","37","ipA13","ipB6573","nie","mieszkanie","wybory348","r001","2014-11-12",
"3157225","k","miasto_woj154","woj15","domena_kat9",,"ipA17","ipB1992","nie","wiezowiec","wybory436","c051","2014-11-13",
"4141522",,"miasto_woj128","woj8","domena_kat9",,"ipA6","ipB6","nie",,,,"2014-11-11",
"4508419","m","miasto_woj154","woj12","domena_kat10","24","ipA19","ipB194","nie","mieszkanie","wybory416","c022","2014-11-11",
"1659482","k","miasto_woj216","woj11","domena_kat5","47","ipA24","ipB457","nie","mieszkanie","wybory46","c009","2014-11-12",
"3511572",,"miasto_woj154","woj30","domena_kat10",,"ipA11","ipB95","nie","wiezowiec","wybory92","c057","2014-11-11",
